name,category,type,health(100),relationship(500),money(100w),talent(500),score(160),kimoji(100),time(4年),describe
你忘記你在基隆?,bad,RANDOM,10,0,0,-5,0,-14,4,下雨出門沒帶傘，感冒了
學弟不要再越界了，翻了拉,bad,RANDOM,10,-10,0,-20,0,-16,6,跟學弟打球被謀殺，翻船
學長不要!!,bad,RANDOM,5,-10,0,-5,0,-10,4,被學長的火球砸到
狼人殺傷感情 嗎?,bad,RANDOM,0,-10,0,5,0,-5,1,玩狼人殺莫名其妙就被殺了QAQ，我要報復社會
想畢業嗎?,bad,RANDOM,8,0,0,0,0,-5,14,讀必修阿阿阿阿
所以我說，作業要交,bad,RANDOM,0,0,0,0,0,-10,6,阿阿阿阿要被當了--乖乖在家寫功課
期末報告,bad,RANDOM,10,0,0,0,0,-15,8,考試+報告=R.I.P.
翹課那回事,bad,RANDOM,0,0,0,0,0,-15,8,還敢翹課阿，乖乖補帶摟
過彎不減速,bad,RANDOM,15,0,-10000,-5,0,-12,4,然後就跟人對碰了...讓你以後還敢飆車?
爆肝永不止息,bad,RANDOM,45,0,0,15,0,-30,30,連續熬夜1個月ㄌQAQ
還敢不戴口罩阿,bad,RANDOM,15,-15,-5000,-15,0,6,14,跑去人多的地方玩沒戴口罩，確診摟
突然想在馬路上練魚躍,bad,RANDOM,5,0,0,5,0,-5,2,騎車遇到前方發生事故，急煞打滑摔車
要...賠錢....了,bad,RANDOM,0,0,-2000,-5,0,-5,1,慘了把借的mipro弄壞了ㄌ
火災 火災 發生火災,bad,RANDOM,5,10,0,15,0,-10,4,練火舞燒起來啦
是誰 殺了手機?,bad,RANDOM,0,0,-2000,0,0,-10,1,騎車快到口袋裡的手機跟不上
熬夜摟,bad,RANDOM,5,0,0,0,0,-5,1,準備好要睡覺了突然發現明天要考試
我恨死基隆的天氣,bad,RANDOM,5,0,0,-5,0,-5,1,早上6點起床要練球，到了球場就下雨了
隱眼跳樓自殺了,bad,RANDOM,0,0,0,0,0,-3,1,眼睛太乾...揉眼睛揉一揉就發現隱眼不見了
我真的想認真...,bad,RANDOM,5,0,0,-5,0,-3,1,剛拿出課本然後就踢到桌腳了，直接躺一下午
換新棒棒,bad,RANDOM,-5,0,-2000,15,0,-5,1,打斷球棒，荷包在淌血QAQ
喔..手痛痛,bad,RANDOM,5,0,0,-10,0,0,3,丟球過猛，拉傷手
要遭天譴拉,bad,RANDOM,0,0,0,0,0,-5,1,買太多仙草龍沒吃完，放到發霉ㄌ
探望,bad,RANDOM,0,5,0,0,0,-5,2,親人住院，前去探望關心
食物中毒,bad,RANDOM,10,0,-2000,0,0,-5,5,不小心吃到紫色菇菇....
小小一叮，威力無比,bad,RANDOM,3,0,0,0,0,-3,2,去爬山被虎頭蜂叮
飆仔,bad,RANDOM,0,0,-1800,0,0,-3,1,上課快遲到，飆車闖紅燈被罰錢
